varos	osszeg_millio_egyfo	palyzatok_szama
Röszke	0,6393	28
Rudabánya	0,4039	12
Rudolftelep	0,1898	8
Rum	0,2499	16
Ruzsa	0,1739	20
Ságújfalu	0,207	8
Ságvár	0,6709	24
Sajóbábony	1,9006	58
Sajóecseg	2,1359	9
Sajógalgóc	0,0752	3
Sajóhídvég	0,2564	6
Sajóivánka	0,0608	2
Sajókápolna	0,4668	3
Sajókaza	2,1314	40
Sajókeresztúr	0,2879	16
Sajólád	0,1774	12
Sajólászlófalva	0,0234	1
Sajómercse	0,0463	1
Sajónémeti	0,0905	3
Sajóörös	0,077	7
Sajópálfala	1,9843	5
Sajópetri	0,1884	10
Sajópüspöki	0,0837	2
Sajósenye	0,2667	6
Sajószentpéter	0,3599	74
Sajószöged	1,1407	14
Sajóvámos	0,0685	7
Sajóvelezd	0,1323	8
Sajtoskál	0,0133	2
Salföld	0	1
Salgótarján	1,0594	478
Salomvár	0,0035	4
Sály	0,2587	4
Sámod	2,3183	2
Sámsonháza	1,2813	3
Sand	0,179	1
Sándorfalva	0,9312	80
Sántos	0,2534	8
Sáp	0,5414	10
Sáránd	0,2071	16
Sárazsadány	0,6668	4
Sárbogárd	0,2394	82
Sáregres	0,3968	7
Sárfimizdó	0,0565	1
Sárhida	0,0047	1
Sárisáp	0,0478	6
Sarkad	0,5742	61
Sarkadkeresztúr	0,3568	15
Sárkeresztes	0,1183	10
Sárkeresztúr	0,1457	11
Sármellék	2,5959	10
Sárok	6,0624	2
Sárosd	0,0578	10
Sárospatak	1,0052	253
Sárpilis	0,12	5
Sárrétudvari	0,4087	31
Sarród	1,4832	11
Sárszentlőrinc	0,2465	6
Sárszentmihály	0,2092	33
Sarud	0,1714	13
Sárvár	0,8141	190
Sásd	1,1862	87
Sáska	0,1299	1
Sáta	0,0079	2
Sátoraljaújhely	1,2465	248
Sátorhely	1,895	6
Sávoly	0,0538	2
Sé	0,014	3
Segesd	0,7897	25
Selyeb	0,0638	3
Sellye	2,0196	62
Semjén	0,0245	1
Semjénháza	0,0477	1
Sénye	0,881	2
Sényő	0,1791	14
Seregélyes	0,3404	40
Serényfalva	1,115	2
Sikátor	0,0495	1
Siklós	0,8319	101
Siklósnagyfalu	0,828	3
Sima	0,3125	1
Simaság	0,3501	3
Simonfa	0,1612	2
Simontornya	1,3199	58
Sióagárd	0,4882	15
Siófok	1,1518	593
Siójut	0,0571	1
Sirok	1,7547	42
Sitke	0,5546	7
Sobor	0,1066	2
Sokorópátka	0,4614	23
Solt	0,7304	87
Soltszentimre	0,2567	8
Soltvadkert	0,7195	174
Sóly	0,0202	1
Solymár	0,1676	58
Som	5,2604	4
Somberek	0,8794	15
Somlójenő	0,047	5
Somlószőlős	0,4354	13
Somlóvásárhely	0,3502	11
Somlóvecse	0,0149	1
Somodor	0,227	4
Somogyacsa	0,0184	3
Somogyapáti	2,4654	5
Somogyaszaló	0,1155	8
Somogybabod	5,4082	9
Somogybükkösd	0,151	1
Somogycsicsó	0,1467	3
Somogydöröcske	2,2946	9
Somogyegres	0,0168	3
Somogyfajsz	0,8683	3
Somogygeszti	0,2438	3
Somogyhárságy	0,0901	2
Somogyhatvan	0,1896	2
Somogyjád	0,9357	14
Somogysámson	0,0424	2
Somogysárd	0,1824	7
Somogyszentpál	0,0036	2
Somogyszil	0,0116	2
Somogyszob	0,1499	12
Somogytúr	5,6735	4
Somogyudvarhely	0,1873	12
Somogyvámos	0,3331	8
Somogyvár	1,5405	29
Somogyzsitfa	0,2439	7
Somoskőújfalu	0,144	22
Sonkád	0,1837	7
Soponya	0,0461	7
Sopron	1,7014	831
Sopronhorpács	0,2923	9
Sopronkövesd	1,0504	10
Sopronnémeti	0,0909	3
Sorkifalud	0,0095	1
Sorkikápolna	0,0427	1
Sormás	1,1992	26
Sorokpolány	0,0127	2
Sóshartyán	0,2174	6
Sóskút	1,1231	49
Sóstófalva	1,8815	5
Sósvertike	0,1666	1
Söjtör	0,1012	20
Söpte	0,0146	2
Söréd	0,0103	2
Sukoró	0,1346	8
Súr	0,0588	4
Surd	0,3075	7
Sükösd	0,125	24
Sülysáp	0,3539	24
Sümeg	1,2658	133
Sümegcsehi	0,0726	4
Sümegprága	0,0041	3
Süttő	0,3075	10
Szabadbattyán	0,2001	23
Szabadegyháza	0,8277	20
Szabadhídvég	0,38	5
Szabadkígyós	0,3316	24
Szabadszállás	0,62	58
Szabadszentkirály	0,4326	16
Szabolcs	0,9161	10
Szabolcsbáka	0,0727	7
Szabolcsveresmart	0,9525	9
Szada	0,422	41
Szajk	0,2081	9
Szajla	0,0762	4
Szajol	0,1934	19
Szakácsi	9,7727	2
Szakadát	1,6671	5
Szakáld	0,3972	8
Szakály	0,2928	18
Szakcs	0,0495	5
Szakmár	0,2757	16
Szaknyér	0,8257	1
Szakoly	0,6877	40
Szakony	0,0311	2
Szalafő	1,2105	11
Szalánta	0,5198	18
Szalapa	0,9402	2
Szalaszend	0,4629	12
Szalatnak	0,0052	3
Szálka	0,6548	6
Szalkszentmárton	0,1889	17
Szalmatercs	0,8092	1
Szalonna	0,5148	23
Szamosangyalos	0,3098	3
Szamosbecs	0,0229	1
Szamoskér	1,3372	3
Szamossályi	0,045	1
Szamostatárfalva	0,3042	3
Szamosújlak	0,1002	2
Szamosszeg	0,6002	13
Szanda	0,1096	6
Szank	1,1434	30
Szántód	0,5791	6
Szany	0,1957	16
Szápár	0,2454	1
Szaporca	4,2211	3
Szár	0,2235	9
Szárazd	1,2408	2
Szárföld	0,0598	3
Szárliget	0,0258	4
Szarvas	1,1483	338
Szarvasgede	2,4096	5
Szarvaskend	0,5537	7
Szarvaskő	0,1557	1
Szászberek	0,3298	2
Szászvár	0,595	43
Szatmárcseke	0,263	13
Szátok	0,072	3
Szatta	0,0819	1
Szatymaz	0,7285	46
Szava	0,8343	5
Százhalombatta	0,2164	88
Szécsénke	0,0333	1
Szécsény	1,178	99
Szécsényfelfalu	0,6085	4
Szederkény	0,4534	15
Szedres	0,2743	12
Szeged	2,2725	4006
Szeghalom	0,4314	121
Szegi	0,2942	7
Szegilong	0,1533	5
Szegvár	0,4959	20
Székely	1,8976	6
Székelyszabar	0,0992	3
Székesfehérvár	1,1346	1942
Székkutas	0,7434	14
Szekszárd	1,3244	960
Szeleste	7,1718	10
Szelevény	4,7803	11
Szellő	0,2127	1
Szemenye	0,5238	6
Szemere	0,3006	3
Szendehely	0,3566	12
Szendrő	0,832	83
Szendrőlád	0,79	27
Szenna	1,3856	21
Szenta	0,0605	7
Szentantalfa	0,4237	7
Szentbalázs	1,6424	8
Szentbékkálla	1,4857	2
Szentborbás	0,2552	1
Szentdénes	0,2253	4
Szentdomonkos	0,0516	1
Szente	0,2051	7
Szentendre	0,7814	264
Szentes	0,67	300
Szentgál	0,0343	12
Szentgáloskér	0,0544	2
Szentgotthárd	0,4282	100
Szentgyörgyvölgy	0,1264	3
Szentistván	0,2119	9
Szentistvánbaksa	2,0261	5
Szentjakabfa	0,5359	1
Szentkirály	1,1735	29
Szentkirályszabadja	0,0863	10
Szentkozmadombja	0,1414	2
Szentlászló	0,0116	1
Szentliszló	0,027	1
Szentlőrinc	0,5991	75
Szentlőrinckáta	0,2023	8
Szentmargitfalva	0,6468	3
Szentmártonkáta	0,066	15
Szentpéterfa	0,0444	2
Szentpéterszeg	0,4226	24
Szentpéterúr	0,1194	8
Szenyér	0,2192	2
Szepetnek	0,2915	7
Szeremle	0,1102	10
Szerencs	1,8819	186
Szerep	0,0729	7
Szergény	0,0547	2
Szigetbecse	0,3694	11
Szigetcsép	0,2236	16
Szigethalom	0,0856	42
Szigetmonostor	0,1684	8
Szigetszentmárton	0,1605	12
Szigetszentmiklós	0,5699	212
Szigetújfalu	0,1603	12
Szigetvár	1,078	243
Szigliget	0,6364	3
Szihalom	0,8193	19
Szijártóháza	0,0769	1
Szikszó	2,3163	120
Szil	0,3957	17
Szilágy	0,0331	1
Szilaspogony	0,0581	3
Szilsárkány	0,0326	1
Szilvágy	0,0147	3
Szilvásvárad	1,1578	25
Szilvásszentmárton	0,2465	1
Szin	0,5704	8
Szinpetri	0,0972	1
Szirák	2,0872	15
Szirmabesenyő	0,2226	23
Szob	0,5964	16
Szokolya	0,1449	5
Szólád	0,0946	8
Szolnok	1,2322	1197
Szombathely	0,9993	1453
Szomód	0,7229	12
Szomolya	0,288	12
Szomor	0,0265	4
Szorgalmatos	0,132	7
Szorosad	0,0105	1
Szőc	0,0679	1
Sződ	0,364	25
Sződliget	0,1586	19
Szögliget	0,2917	12
Szőke	0,0093	1
Szőlősardó	0,1476	2
Szőlősgyörök	0,0721	5
Szörény	1,84	3
Szúcs	0,0233	1
Szuha	0,2329	4
Szuhafő	0,6742	5
Szuhakálló	0,1606	5
Szuhogy	0,1065	6
Szulok	0,5608	5
Szurdokpüspöki	0,1604	13
Szűcsi	0,3957	14
Szügy	1,7798	21
Szűr	0,2561	1
Tab	1,0695	56
Tabajd	0,0612	7
Tabdi	0,9661	17
Táborfalva	0,2766	26
Tác	0,5272	15
Tahitótfalu	0,3132	15
Takácsi	0,2377	8
Tákos	0,0187	1
Taksony	1,3302	30
Taktabáj	0,2281	9
Taktaharkány	0,5845	9
Taktakenéz	0,1832	4
Taktaszada	0,2358	14
Taliándörögd	0,0085	2
Tállya	0,6955	21
Tamási	1,1614	156
Tanakajd	0,0384	5
Táp	0,1828	7
Tápióbicske	0,0456	5
Tápiógyörgye	0,0451	30
Tápióság	0,0079	3
Tápiószecső	0,0896	21
Tápiószele	0,2414	34
Tápiószentmárton	0,3405	12
Tápiószőlős	0,5427	31
Táplánszentkereszt	0,2356	15
Tapolca	0,4368	142
Tapsony	0,0764	2
Tápszentmiklós	0,0591	4
Tar	0,1102	5
Tarany	0,1882	6
Tarcal	0,9373	45
Tard	0,16	11
Tardona	0,278	9
Tardos	0,0498	8
Tarhos	0,3389	8
Tarján	0,0525	12
Tárkány	1,3425	11
Tarnabod	1,3539	14
Tarnalelesz	0,6199	21
Tarnaméra	0,1242	9
Tarnaörs	0,5123	12
Tarnaszentmária	3,8855	2
Tarnaszentmiklós	0,7721	5
Tarnazsadány	0,196	8
Tárnok	0,1506	17
Tárnokréti	0,0883	1
Tarpa	0,4892	17
Tass	10,3611	19
Taszár	0,265	10
Tát	0,7099	49
Tata	0,7482	381
Tatabánya	1,0174	719
Tataháza	0,0668	5
Tatárszentgyörgy	0,234	8
Tázlár	0,0887	8
Téglás	0,2788	46
Tekenye	0,0143	1
Teklafalu	0,3344	6
Telekes	0,0617	5
Telekgerendás	0,3435	14
Teleki	6,2429	4
Telki	0,4211	26
Telkibánya	0,9019	17
Tengelic	0,7806	7
Tengőd	0,2277	4
Tenk	0,5918	18
Tényő	0,0772	7
Tépe	0,3374	11
Terem	0,866	9
Terény	0,4471	9
Tereske	0,1569	7
Teresztenye	0,7246	3
Terpes	1,1567	12
Tés	0,0288	2
Téseny	0,1384	1
Teskánd	0,2183	19
Tét	0,5612	39
Tetétlen	0,0988	6
Tevel	0,2112	13
Tibolddaróc	0,1114	11
Tiborszállás	0,2812	6
Tihany	2,0048	44
Timár	0,472	29
Tinnye	0,437	7
Tiszaadony	0,5462	6
Tiszaalpár	0,7749	52
Tiszabábolna	1,5106	7
Tiszabecs	0,457	10
Tiszabercel	3,4068	10
Tiszabezdéd	0,2112	12
Tiszabő	0,0434	4
Tiszabura	0,8605	13
Tiszacsécse	0,0708	3
Tiszacsege	0,3068	31
Tiszacsermely	0,1133	4
Tiszadada	1,5127	18
Tiszaderzs	0,3136	6
Tiszadob	2,0164	37
Tiszadorogma	1,7394	7
Tiszaeszlár	0,2459	10
Tiszaföldvár	0,2626	84
Tiszafüred	1,0591	153
Tiszagyenda	0,0948	3
Tiszagyulaháza	0,516	3
Tiszaigar	0,0289	2
Tiszajenő	0,7348	9
Tiszakanyár	0,2294	13
Tiszakarád	0,1933	11
Tiszakécske	0,6601	97
Tiszakerecseny	0,3508	10
Tiszakeszi	0,1631	14
Tiszakóród	0,1002	3
Tiszakürt	0,2789	11
Tiszaladány	0,1679	6
Tiszalök	0,4858	63
Tiszalúc	0,4935	29
Tiszamogyorós	0,1518	4
Tiszanagyfalu	0,0773	12
Tiszanána	0,9511	34
Tiszaörs	0,3651	9
Tiszapalkonya	0,0075	1
Tiszapüspöki	0,6561	12
Tiszaroff	0,2909	9
Tiszasas	0,1679	11
Tiszasüly	18,0536	3
Tiszaszalka	0,2556	6
Tiszaszentimre	0,8844	11
Tiszaszentmárton	0,8025	7
Tiszasziget	0,4218	19
Tiszaszőlős	0,1847	10
Tiszatardos	0,2974	6
Tiszatarján	0,6671	24
Tiszatelek	0,0611	2
Tiszatenyő	1,2666	7
Tiszaug	0,1504	4
Tiszaújváros	0,4034	204
Tiszavalk	0,0658	2
Tiszavárkony	0,2099	8
Tiszavasvári	0,4697	129
Tisztaberek	0,2326	3
Tivadar	4,3686	6
Tóalmás	0,1002	8
Tófalu	0,0461	2
Tófej	0,1256	4
Tokaj	3,1424	131
Tokod	0,2632	23
Tokodaltáró	0,2649	22
Tolcsva	0,8124	21
Told	0,2151	3
Tolmács	1,2512	12
Tolna	0,6151	146
Tolnanémedi	0,0741	1
Tomajmonostora	1,4876	12
Tomor	1,6782	10
Tompa	0,5631	39
Tordas	0,8161	14
Tormafölde	0,1722	3
Tormás	0,9304	4
Tormásliget	0,3771	5
Tornabarakony	1,0209	2
Tornanádaska	0,066	2
Tornaszentandrás	0,0311	5
Tornaszentjakab	0,3085	2
Tornyosnémeti	0,725	8
Tornyospálca	0,2844	17
Torony	0,1498	9
Torvaj	0,5405	2
Tószeg	0,0879	19
Tótkomlós	0,9177	57
Tótszentmárton	0,0598	4
Tótszerdahely	0,1945	7
Tótvázsony	0,6805	20
Tök	0,7526	8
Tököl	0,6022	50
Töltéstava	0,3015	25
Tömörd	0,0682	3
Tömörkény	0,066	4
Törökbálint	0,2146	126
Törökkoppány	1,247	12
Törökszentmiklós	0,7397	179
Törtel	0,0512	4
Töttös	0,1191	6
Trizs	0,1232	3
Tunyogmatolcs	0,9519	12
Tura	0,1764	36
Túristvándi	0,7725	15
Túrkeve	0,4281	94
Túrony	0,6052	4
Túrricse	0,8403	6
Tuzsér	0,6724	21
Türje	1,3299	24
Tüskevár	0,221	5
Tyukod	0,1969	5
Ugod	0,2217	5
Újcsanálos	0,0773	3
Újdombrád	0,1107	5
Újfehértó	1,0212	112
Újhartyán	0,8559	29
Újiráz	1,0962	5
Újkenéz	0,0868	6
Újkér	0,0175	1
Újkígyós	0,4664	73
Újlengyel	0,2377	15
Újléta	1,348	19
Újlőrincfalva	0,4917	5
Újpetre	0,0317	3
Újrónafő	0,005	1
Újszalonta	0,2807	1
Újszász	0,457	49
Újszentiván	0,6297	33
Újszentmargita	0,963	28
Újszilvás	1,1163	33
Újtelek	0,0495	5
Újtikos	0,1282	5
Újudvar	0,0311	1
Újvárfalva	0,0675	2
Ukk	0,2796	4
Uppony	0,2211	5
Ura	1,5741	4
Uraiújfalu	0,6981	9
Úrhida	0,0858	10
Úri	0,5562	11
Úrkút	0,4814	12
Uszka	0,597	5
Uszód	1,9301	6
Uzsa	0,0469	1
Üllés	0,2997	38
Üllő	0,1986	50
Üröm	0,1476	30
Vác	0,3251	168
Vácduka	0,0833	1
Vácegres	0,0247	1
Váchartyán	0,1889	10
Váckisújfalu	0,1485	2
Vácrátót	1,1444	15
Vácszentlászló	1,4957	2
Vadna	0,6496	15
Vág	0,0105	1
Vágáshuta	0,1066	1
Vaja	0,3643	20
Vajdácska	0,1587	7
Vajszló	1,6067	34
Vajta	0,0096	1
Vál	0,2406	16
Valkó	0,0953	5
Valkonya	1,1523	2
Vállaj	0,1563	6
Vállus	1,2646	4
Vámosatya	0,0087	1
Vámoscsalád	3,7568	4
Vámosgyörk	0,1589	5
Vámosmikola	0,8647	3
Vámosoroszi	0,0683	3
Vámospércs	1,1884	63
Vámosújfalu	0,1124	4
Vámosszabadi	0,1471	18
Váncsod	0,1833	12
Vanyarc	0,1383	13
Vanyola	0,0085	2
Váralja	0,0818	4
Váraszó	0,1953	5
Várbalog	0,0192	1
Varbó	0,7407	12
Varbóc	0,5411	8
Várda	0,0094	1
Várdomb	0,1558	5
Várgesztes	0,3522	4
Várkesző	0,0402	3
Várong	0,2752	1
Városföld	0,5459	11
Városlőd	0,237	12
Várpalota	0,2838	152
Varsád	1,152	7
Varsány	0,1176	3
Várvölgy	0,0054	3
Vasad	0,1406	5
Vasalja	0,4822	1
Vásárosbéc	0,1098	2
Vásárosdombó	0,3264	14
Vásárosmiske	0,0709	2
Vásárosnamény	0,8619	170
Vasasszonyfa	0,0051	1
Vasboldogasszony	0,0023	1
Vasegerszeg	0,0778	3
Vashosszúfalu	3,8251	2
Vaskeresztes	0,8096	3
Vaskút	0,2115	23
Vasmegyer	0,0575	4
Vaspör	1,5852	4
Vassurány	0,0139	1
Vasvár	1,2123	104
Vaszar	0,0249	8
Vászoly	0,0287	2
Vasszécseny	0,148	10
Vasszilvágy	0,0331	1
Vát	0,0926	2
Vatta	0,0171	3
Vázsnok	0,2142	1
Vécs	0,079	6
Vecsés	0,3781	128
Végegyháza	0,2806	15
Vejti	0,0147	1
Vékény	0,0069	3
Vekerd	2,1206	2
Velem	0,103	6
Velence	0,6885	57
Véménd	0,2445	15
Vép	0,6824	39
Vereb	0,3723	3
Veresegyház	0,5695	89
Verőce	0,1291	8
Verpelét	0,7797	35
Verseg	1,2002	6
Versend	0,175	4
Vértesacsa	0,0993	13
Vértesboglár	0,1106	5
Vértessomló	0,4281	8
Vértestolna	0,1383	4
Vértesszőlős	0,3359	32
Vése	9,2699	13
Veszkény	0,9666	14
Veszprém	1,4889	1429
Veszprémfajsz	0,0278	2
Veszprémvarsány	0,1609	8
Vésztő	0,814	92
Vezseny	0,5351	2
Vigántpetend	0,103	1
Villány	3,0319	69
Vilmány	0,6208	14
Vilonya	2,2562	7
Vilyvitány	0,8454	11
Vindornyaszőlős	1,8738	5
Visegrád	1,5855	23
Visonta	0,8964	46
Viss	0,4782	4
Visz	0,0909	3
Visznek	0,0488	1
Vitnyéd	0,0135	2
Vízvár	0,216	7
Vizslás	0,066	3
Vizsoly	1,0709	18
Vokány	0,0959	4
Vonyarcvashegy	0,3887	30
Vöckönd	0,0126	1
Vörs	0,0252	1
Zabar	0,0223	2
Zádor	0,053	1
Zádorfalva	0,042	2
Zagyvarékas	0,3727	24
Zagyvaszántó	0,0703	8
Záhony	9,6742	42
Zajta	0,1721	2
Zákány	0,5663	16
Zákányszék	0,1268	13
Zala	0,1643	1
Zalaapáti	0,6326	19
Zalabaksa	0,3139	10
Zalabér	1,9267	9
Zalaboldogfa	0,1075	3
Zalacsány	0,1857	5
Zalacséb	0,0355	3
Zalaegerszeg	0,8606	1153
Zalaerdőd	2,113	5
Zalagyömörő	0,0467	2
Zalahaláp	0,2837	7
Zalaháshágy	0,1288	6
Zalaistvánd	0,0821	5
Zalakaros	2,2459	68
Zalakomár	0,128	16
Zalalövő	0,4718	55
Zalamerenye	0,023	1
Zalaszabar	0,2001	3
Zalaszántó	0,017	1
Zalaszentbalázs	0,2531	2
Zalaszentgrót	0,5807	108
Zalaszentgyörgy	0,0902	12
Zalaszentiván	6,2028	17
Zalaszentlászló	0,2385	12
Zalaszentlőrinc	0,0031	2
Zalaszentmárton	1,7997	1
Zalaszentmihály	0,1099	5
Zaláta	0,2408	2
Zalatárnok	0,1172	6
Zalaújlak	1,4301	3
Zalavár	1,2158	9
Zalavég	0,5066	4
Zalkod	0,1003	2
Zamárdi	0,792	56
Zámoly	0,0875	10
Zánka	6,2321	20
Zaránk	0,0081	1
Závod	0,0585	7
Zebegény	0,0723	4
Zemplénagárd	0,0228	1
Zichyújfalu	0,2186	9
Zics	0,102	5
Ziliz	0,02	1
Zimány	0,3096	4
Zirc	0,8621	100
Zomba	0,8517	17
Zubogy	0,0126	1
Zsadány	0,332	14
Zsáka	0,2388	15
Zsámbék	0,2947	41
Zsámbok	0,4435	7
Zsana	0,6536	3
Zsarolyán	0,3397	2
Zsebeháza	0,0502	1
Zsédeny	0,037	1
Zselickisfalud	0,6303	4
Zselickislak	0,0164	2
Zselicszentpál	0,0422	5
Zsira	0,4749	7
Zsombó	0,6863	48
Zsujta	0,2258	1
Zsurk	0,1518	1
